
1054	126	126	0	0	0
126	1054	126	0	0	0
126	126	1054	0	0	0
0	0	0	562	0	0
0	0	0	0	562	0
0	0	0	0	0	562
					

321	149	141	0	0	0
149	321	141	0	0	0
141	141	185	0	0	0
0	0	0	47	0	0
0	0	0	0	47	0
0	0	0	0	0	58
					

133	56	47	0	0	12
56	133	47	0	0	-12
47	47	113	0	0	0
0	0	0	29	0	0
0	0	0	0	29	0
12	-12	0	0	0	37
					

263	116	129	0	0	0
116	279	145	0	0	0
129	145	248	0	0	0
0	0	0	86	0	0
0	0	0	0	49	0
0	0	0	0	0	89
					

58	30	22	0	0	0
30	58	22	0	0	0
22	22	66	0	0	0
0	0	0	20	0	0
0	0	0	0	20	0
0	0	0	0	0	14
					

452	150	107	20	0	0
150	452	107	-20	0	0
107	107	454	0	0	0
20	-20	0	132	0	0
0	0	0	0	132	20
0	0	0	0	20	151
					
		
192	65	55	17	-11	0
65	192	55	-17	11	0
55	55	108	0	0	0
17	-17	0	37	0	11
-11	11	0	0	37	17
0	0	0	11	17	63
					

270	139	135	0	-10	0
139	311	117	0	-15	0
135	117	270	0	12	0
0	0	0	58	0	-4
-10	-15	12	0	57	0
0	0	0	-4	0	46
					

291	49	88	18	-13	-10
49	290	42	-19	14	-13
88	42	315	-16	-19	-2
18	-19	-16	100	-11	3
-13	14	-19	-11	163	8
-10	-13	-2	3	8	89
